Date,Mileage,Location(s)
6/28/2021,8.1,TLC -> SI
6/29/2021,0,SI
6/30/2021,0,SI
7/1/2021,8.1,TLC -> SI
7/2/2021,0,SI
7/6/2021,5.8,TLC -> CKHS/MS
7/7/2021,0,CKHS/MS
7/8/2021,0,CKHS/MS
7/9/2021,0,CKHS/MS
7/12/2021,10.5,TLC -> KSS
7/13/2021,0,KSS
7/14/2021,10.5,TLC -> KSS
7/15/2021,0,KSS
7/16/2021,25.4,TLC -> SI -> GM -> JP
7/19/2021,21.5,TLC -> EM -> CV -> CC -> TLC
7/20/2021,8.5,TLC -> EH -> TLC -> JW
7/21/2021,0,JW
7/22/2021,22.4,TLC -> BR -> TLC -> JW -> GM
7/23/2021,35.3,TLC -> JW -> GM -> JP -> KSS -> JW
7/26/2021,25.6,TLC -> KSS -> JW -> PC -> JW
7/27/2021,14.7,TLC -> PC -> WD -> JW -> CW
7/28/2021,23.2,TLC -> CW -> JW -> FV -> JW -> BR -> JW
7/29/2021,5,TLC -> OLY -> TLC
7/30/2021,5.2,TLC -> JW
8/2/2021,5.2,TLC -> JW
8/3/2021,0,JW
8/4/2021,6.9,JW -> PC -> TLC
8/5/2021,3.2,JW -> CW
8/6/2021,0,JW
8/9/2021,0,JW
8/10/2021,0,JW
8/11/2021,3.7,JW -> WD
8/12/2021,3.7,WD -> JW
8/13/2021,0,JW
8/16/2021,0,JW
8/17/2021,0,JW
8/18/2021,0,JW
8/19/2021,5.2,JW -> TLC
8/20/2021,10.2,JW -> EH -> JW