Date,Week Day,Total Time,Most Used Time,Others Time,Extra Time,Most Used Category,Most Used App,Use Time,First Pickup,Total Pickups,First App,Use Number,Total Notifications,Most Notified App,App Notificaitons
10/3/2021,Sunday,9.583333333,5.483333333,3.860555556,0.239444444,Entertainment,YouTube,4.933333333,7:38 AM,67,Discord,10,80,Instagram,27
10/4/2021,Monday,12.68333333,7.583333333,4.503333333,0.596666667,Entertainment,Disney+,7.016666667,7:28 AM,48,Instagram,10,45,Instagram,16
10/5/2021,Tuesday,6.816666667,3.583333333,2.869444444,0.363888889,Entertainment,YouTube,3.583333333,6:51 AM,38,Snapchat,15,38,Snapchat,14
10/6/2021,Wednesday,7.366666667,4.666666667,2.376944444,0.323055556,Entertainment,YouTube,4.666666667,6:42 AM,51,Snapchat,23,64,Snapchat,21
10/7/2021,Thursday,9.033333333,4.766666667,3.435833333,0.830833333,Entertainment,YouTube,4.75,7:17 AM,55,Instagram,20,55,Instagram,25
10/8/2021,Friday,11.76666667,7.883333333,3.519166667,0.364166667,Entertainment,Disney+,4.6,7:01 AM,41,Instagram,7,52,Instagram,16
10/9/2021,Saturday,5.716666667,3.483333333,1.985277778,0.248055556,Entertainment,YouTube,3.466666667,3:24 AM,36,Instagram,5,52,Messages,10
10/10/2021,Sunday,10.65,7.016666667,3.066388889,0.566944444,Entertainment,YouTube,7.016666667,8:01 AM,27,Snapchat,4,24,Instagram,5
10/11/2021,Monday,9.95,7.033333333,2.625,0.291666667,Entertainment,YouTube,6.983333333,7:35 AM,43,Outlook,9,43,Outlook,18
10/12/2021,Tuesday,11.21666667,9.716666667,0.604444444,0.895555556,Social,TikTok,9.116666667,8:59 AM,28,Snapchat,5,29,Instagram,8
10/13/2021,Wednesday,6.883333333,5.05,1.55,0.283333333,Entertainment,YouTube,5.016666667,4:20 AM,55,Snapchat,14,55,Snapchat,20
10/14/2021,Thursday,13.4,7.666666667,5.418333333,0.315,Entertainment,YouTube,7.65,9:02 AM,82,Snapchat,31,67,Snapchat,39
10/15/2021,Friday,14.5,8,4.766666667,1.733333333,Entertainment,Disney+,6.6,7:33 AM,77,Snapchat,21,66,Snapchat,30
10/16/2021,Saturday,10.51666667,5.466666667,4.736666667,0.313333333,Entertainment,Netflix,5.433333333,5:36 AM,43,Instagram,9,78,Premier League,35
10/17/2021,Sunday,12.48333333,8.383333333,2.835,1.265,Entertainment,Disney+,8.133333333,12:04 AM,36,Instagram,5,33,Messages,7
10/18/2021,Monday,5.166666667,2.9,1.8125,0.454166667,Social,TikTok,1.333333333,7:04 AM,57,Instagram,11,38,Instagram,11
10/19/2021,Tuesday,6.75,3.033333333,3.488888889,0.227777778,Entertainment,YouTube,3.016666667,5:46 AM,38,Snapchat,9,31,Outlook,10
10/20/2021,Wednesday,11.63333333,6.85,3.75,1.033333333,Entertainment,YouTube,6.833333333,7:35 AM,27,Snapchat,6,31,Outlook,10
10/21/2021,Thursday,13.46666667,8.1,4.666111111,0.700555556,Entertainment,YouTube,7.55,8:40 AM,48,Outlook,10,53,Outlook,14
10/22/2021,Friday,11.05,7.183333333,2.316944444,1.549722222,Entertainment,Disney+,7.183333333,7:23 AM,41,Snapchat,15,38,Snapchat,14
10/23/2021,Saturday,4.016666667,2.9,0.986666667,0.13,Social,TikTok,1.45,9:20 AM,47,Music,18,57,Premier League,27
10/24/2021,Sunday,6.833333333,4.45,2.029722222,0.353611111,Social,TikTok,2.833333333,12:30 AM,41,Instagram,12,54,Premier League,21
10/25/2021,Monday,14.33333333,8.366666667,4.841388889,1.125277778,Entertainment,YouTube,7.983333333,12:16 AM,33,Music,7,21,Snapchat,6
10/26/2021,Tuesday,6.716666667,4.016666667,2.43,0.27,Social,TikTok,2.333333333,8:07 AM,50,Instagram,8,52,Snapchat,14
10/27/2021,Wednesday,9.166666667,5.816666667,3.317222222,0.032777778,Entertainment,YouTube,5.6,7:09 AM,33,Outlook,7,30,Outlook,10
10/28/2021,Thursday,13.48333333,7.866666667,4.700277778,0.916388889,Entertainment,YouTube,7.766666667,8:08 AM,48,Music,8,48,Messages,15
10/29/2021,Friday,3.8,1.516666667,1.766666667,0.516666667,Social,Netflix,0.866666667,7:19 AM,58,Instagram,19,40,Instagram,11
10/30/2021,Saturday,10.65,8.033333333,2.316666667,0.3,Entertainment,YouTube,7.45,12:09 AM,26,Snapchat,7,69,Premier League,41
10/31/2021,Sunday,12.5,7.516666667,4.61,0.373333333,Entertainment,Netflix,7.516666667,12:29 AM,47,Outlook,8,30,Messages,7
11/1/2021,Monday,3.683333333,2.133333333,1.033333333,0.516666667,Social,Instagram,1.183333333,7:18 AM,53,Instagram,12,38,Outlook,24
11/2/2021,Tuesday,9.366666667,4.683333333,4.633333333,0.05,Social,Disney+,3.566666667,7:29 AM,64,Instagram,19,47,Snapchat,14
11/3/2021,Wednesday,6.716666667,4.666666667,1.45,0.6,Entertainment,Youtube,4.4,7:00 AM,62,Instagram,12,52,Outlook,20
11/4/2021,Thursday,10.03333333,4.55,4.316666667,1.166666667,Entertainment,Disney+,4.133333333,8:01 AM,55,Snapchat,19,44,Snapchat,24
11/5/2021,Friday,6.6,3.7,2.4,0.5,Entertainment,YouTube,3.55,7:01 AM,55,Instagram,9,39,Messages,8
11/6/2021,Saturday,5.333333333,3.3,1.233333333,0.8,Social,TikTok,2.2,5:33 AM,38,Music,6,22,Premier League,15
11/7/2021,Sunday,8.833333333,5.883333333,2.35,0.6,Social,TikTok,4.5,12:35 AM,46,Messages,6,26,Messages,10
11/8/2021,Monday,9.933333333,4.716666667,5.066666667,0.15,Entertainment,YouTube,4.666666667,6:01 AM,76,Snapchat,15,63,Snapchat,27
11/9/2021,Tuesday,9.7,3.666666667,4.066666667,1.966666667,Entertainment,Youtube,3.633333333,12:11 AM,77,Instagram,16,61,Outlook,36
11/10/2021,Wednesday,12.95,7.8,4.366666667,0.783333333,Entertainment,YouTube,7.783333333,12:00 AM,69,Snapchat,19,75,Snapchat,26
11/11/2021,Thursday,11.76666667,5.533333333,5.65,0.583333333,Entertainment,YouTube,5.35,6:00 AM,49,Music,15,43,Outlook,12
11/12/2021,Friday,8.133333333,3.9,3.633333333,0.6,Entertainment,YouTube,3.816666667,12:08 AM,75,Snapchat,10,63,Discord,16
11/13/2021,Saturday,11.4,6.883333333,3.9,0.616666667,Entertainment,Netflix,6.75,12:01 AM,56,Messages,11,32,Messages,11
11/14/2021,Sunday,6.5,3.833333333,1.883333333,0.783333333,Entertainment,TikTok,3,12:08 AM,46,Instagram,9,47,Snapchat,17
11/15/2021,Monday,12.05,9.183333333,2.466666667,0.4,Entertainment,Disney+,8.15,6:49 AM,68,Instagram,15,64,Instagram,17
11/16/2021,Tuesday,11.01666667,5.95,3.716666667,1.35,Entertainment,Netflix,5.6,7:43 AM,54,Music,15,42,Snapchat,20
11/17/2021,Wednesday,7.35,4.383333333,2.45,0.516666667,Entertainment,YouTube,4.216666667,7:04 AM,54,Instagram,8,50,Discord,18
11/18/2021,Thursday,13.16666667,9.416666667,3.183333333,0.566666667,Entertainment,Netflix,8.883333333,8:49 AM,35,Instagram,6,54,Instagram,15
11/19/2021,Friday,6.716666667,2.983333333,3.1,0.633333333,Social,YouTube,2.733333333,7:08 AM,55,Outlook,9,57,Instagram,24
11/20/2021,Saturday,6.8,4.716666667,1.216666667,0.866666667,Social,TikTok,3.066666667,1:08 AM,67,Music,10,72,Premier League,22
11/21/2021,Sunday,4.816666667,2.1,2.216666667,0.5,Social,YouTube,2.083333333,9:19 AM,30,Instagram,9,31,Instagram,11
11/22/2021,Monday,,,,,,,,,,,,,,
11/23/2021,Tuesday,,,,,,,,,,,,,,
11/24/2021,Wednesday,,,,,,,,,,,,,,
11/25/2021,Thursday,,,,,,,,,,,,,,
11/26/2021,Friday,,,,,,,,,,,,,,
11/27/2021,Saturday,,,,,,,,,,,,,,
11/28/2021,Sunday,,,,,,,,,,,,,,
11/29/2021,Monday,,,,,,,,,,,,,,
11/30/2021,Tuesday,,,,,,,,,,,,,,
12/1/2021,Wednesday,,,,,,,,,,,,,,
12/2/2021,Thursday,,,,,,,,,,,,,,
12/3/2021,Friday,,,,,,,,,,,,,,
12/4/2021,Saturday,,,,,,,,,,,,,,
12/5/2021,Sunday,,,,,,,,,,,,,,
12/6/2021,Monday,,,,,,,,,,,,,,
12/7/2021,Tuesday,,,,,,,,,,,,,,
12/8/2021,Wednesday,,,,,,,,,,,,,,
12/9/2021,Thursday,,,,,,,,,,,,,,
12/10/2021,Friday,,,,,,,,,,,,,,
12/11/2021,Saturday,,,,,,,,,,,,,,
